user_input,response,reference,answer_correctness,answer_relevancy
What are the obligations a student must fulfill after receiving approval for a transfer from another university to Gdańsk University of Technology?\,"After receiving approval for a transfer from another university to Gdańsk University of Technology, a student must fulfill the following obligations:

*   Take an oath, pursuant to the Statute of Gdańsk University of Technology
*   Sign the contract referred to in §9(1)(4) of these rules
*   Undergo training courses referred to in §3(6)

These obligations must be completed after the transfer approval, as specified in the provided source document.

References:
[KG] file_path: unknown_source","According to the text, once a student receives approval to transfer from another university, they are required to fulfill three specific obligations. First, the student must take an oath in accordance with the Statute of Gdańsk University of Technology. Second, they must sign a contract as referenced in §9(1)(4) of the university rules. Third, they are required to undergo specific training courses outlined in §3(6), which include training on health and safety, library usage, study regulations, the Moja PG electronic system, and preparation for distance learning methods. These obligations are explicitly listed in §2, point 4, section 3 of the document.",0.7757062967218132,0.9481263736534354
What procedures are outlined in the rules for confirming learning outcomes as a method of undertaking studies at Gdańsk University of Technology?,"**Confirming Learning Outcomes as a Method of Undertaking Studies at Gdańsk University of Technology**

According to the rules, confirming learning outcomes is one of the procedures for undertaking studies at Gdańsk University of Technology. The rules outline the following steps for confirming learning outcomes:

1.  **Proceedings for Admission by Transfer**: Proceedings for admission by transfer from another university are conducted by a committee appointed by a person authorized by the rector.
2.  **Confirmation of Learning Outcomes**: Learning outcomes are confirmed in the scope corresponding to the learning outcomes specified in the curriculum.
3.  **Limit on Credited ECTS Credits**: As a result of confirming the learning outcomes, no more than 50% of ECTS credits assigned to the classes included in the study program may be credited.
4.  **Order of Admission**: The order of admission is determined by the result of learning outcome confirmation.
5.  **Appointment of Tutor**: The dean may appoint a tutor for the student accepted for studies as a result of confirming the learning outcomes.

These procedures provide a framework for confirming learning outcomes as a method of undertaking studies at Gdańsk University of Technology.

**References**

*   [KG] unknown_source
*   [KG] unknown_source
*   [KG] unknown_source
*   [KG] unknown_source
*   [KG] unknown_source","The procedures for confirming learning outcomes are described under §2, point 5. They include the initiation of proceedings by a committee appointed by a person authorized by the rector. The confirmation process verifies whether the applicant's prior knowledge, skills, and social competencies match the learning outcomes specified in the curriculum. A maximum of 50% of ECTS credits for a given study program can be awarded through this process. Admission is based on the results of the learning outcomes confirmation. Additionally, a dean may assign a tutor to a student admitted through this method, and further detailed regulations are established separately.",,0.9721505281294734
What training components are mandatory for students during their first semester at Gdańsk University of Technology?,"Mandatory training components for students during their first semester at Gdańsk University of Technology include:

* Health and safety training
* Library training
* Study rules training
* Use of the 'Moja PG' system training
* Preparation for participation in classes conducted using distance learning methods and techniques

These training components are designed to ensure that students are well-equipped to navigate the university's policies and procedures, as well as to effectively utilize the university's resources.

References:
[KG] unknown_source (Knowledge Graph)
[DC] unknown_source (Vector Data)","During their first semester, students at Gdańsk University of Technology are required to complete mandatory training in several areas. These include health and safety, library training, the university's study rules, usage of the “Moja PG” system, and preparation for participating in distance learning classes. This requirement is specified in §3, point 6 of the text, which outlines the components of the training necessary to ensure students are adequately prepared for their academic responsibilities and the university’s operational systems.",0.6887598659837342,0.990017385240273
What responsibilities do students have regarding their personal information and the communication channels used for study-related matters at Gdańsk University of Technology?,"**Student Responsibilities Regarding Personal Information and Communication Channels**

At Gdańsk University of Technology, students have several responsibilities regarding their personal information and the communication channels used for study-related matters.

**Personal Information**

*   Students are responsible for maintaining the accuracy and completeness of their personal information, including their contact details and study plans.
*   Students must inform the university of any changes to their personal information in a timely manner.
*   Students are responsible for ensuring that their personal information is kept confidential and not shared with unauthorized parties.

**Communication Channels**

*   Students are responsible for regularly checking their university email accounts and other communication channels for important announcements and notifications.
*   Students must respond to messages and notifications from the university in a timely manner.
*   Students are responsible for using the university's communication channels, such as the Moja PG system, to access their study plans, grades, and other study-related information.
*   Students are responsible for keeping their university account and password confidential and not sharing them with unauthorized parties.

**References**

*   [KG] file_path: unknown_source
*   [DC] file_path: unknown_source
*   [KG] file_path: unknown_source
*   [DC] file_path: unknown_source
*   [KG] file_path: unknown_source","Students at Gdańsk University of Technology are responsible for promptly notifying university authorities of any changes in their personal information, such as surname, first name, or address, especially if such changes may impact their eligibility for financial assistance. Additionally, students are required to stay informed by regularly consulting information posted on the university's website, the ""eNauczanie"" portal, and communications sent to their official university email and individual student account in the ‘Moja PG’ system. This information must be reviewed within seven days of receipt. In all matters related to their studies, students must use their university-assigned email account for electronic correspondence, in accordance with the applicable administrative procedures. This is outlined in §9(1)(5)-(7) of the text.",0.6379502647882674,0.9539803122308709
How does the Gdańsk University of Technology ensure transparency and accessibility of its study programs and subject-related documentation?,"The Gdańsk University of Technology ensures transparency and accessibility of its study programs and subject-related documentation in several ways.

Firstly, the university provides detailed information about its study programs, including the curriculum, teaching methods, and assessment criteria, on its website. This information is easily accessible to students and other stakeholders, promoting transparency and clarity.

Secondly, the university has established a system of student rights and obligations, which includes the right to obtain a student ID card, access to the university's electronic system (Moja PG), and the right to receive training in the rights and obligations of a student. This system is outlined in the university's statute and is communicated to students through various channels.

Thirdly, the university provides training on student rights and obligations in cooperation with the Students' Parliament of the Republic of Poland. This training is an essential part of the university's efforts to promote transparency and accessibility.

Lastly, the university has established a system of procedures for conducting the recruitment procedure for higher education, which includes the rules for admission by transfer from another university, confirmation of learning outcomes, and the recognition of credits. These procedures are outlined in the university's regulations and are communicated to students through various channels.

In summary, the Gdańsk University of Technology ensures transparency and accessibility of its study programs and subject-related documentation through its website, student rights and obligations system, training on student rights and obligations, and procedures for conducting the recruitment procedure for higher education.

References:
- [KG] file_path: unknown_source
- [KG] file_path: unknown_source
- [KG] file_path: unknown_source
- [DC] file_path: unknown_source
- [DC] file_path: unknown_source","The university ensures transparency by publishing study programs in the Public Information Bulletin (BIP) within 14 days of their adoption and making any changes to these programs available at least one month before the relevant semester begins. Academic teachers must complete subject cards in the ‘Moja PG’ portal, which are then published in the ECTS catalog for curriculum subjects within 14 days of the program's adoption, and for optional subjects no later than 14 days before student registration. Additionally, subject cards may be updated during the academic cycle. The schedule of classes and consultation hours must also be publicly announced in advance, ensuring that students have access to timely and accurate information. These procedures are specified in §6(1)-(5) of the text.",0.24940185120927888,0.9999999999999515
"Under what circumstances may classes at Gdańsk University of Technology be conducted in a foreign language, and how is the language of examination determined in such cases?","According to the Knowledge Base, classes at Gdańsk University of Technology may be conducted in a foreign language in the following circumstances:

* Classes may be carried out in the form of lectures, classes, laboratory classes, workshops, and projects, seminars, and foreign language courses. (Relationship: ""Teaching may be carried out in the form of lectures, classes, laboratory classes, workshops and projects, seminars and foreign language courses."")

Regarding the language of examination, the Knowledge Base does not provide specific information. However, it is mentioned that classes may be conducted using distance education methods and techniques. (Relationship: ""Classes may also be conducted using distance education methods and techniques."")

It is also worth noting that the Knowledge Base mentions that students of Gdańsk University of Technology may complete part of their study program at other universities, including foreign universities, and students from other universities may complete part of their study at Gdańsk University of Technology, pursuant to bilateral contracts between universities. (Relationship: ""Students of Gdańsk University of Technology may complete part of their study program at other universities, including foreign universities, and students from other universities may complete part of their study at Gdańsk University of Technology, pursuant to bilateral contracts between universities."")

References:
- [KG] Relationships #3
- [KG] Relationships #4
- [KG] Relationships #5
- [DC] unknown_source
- [DC] unknown_source","Classes may be conducted in a foreign language if they are part of a study program offered in that language, if selected subjects are designated to be taught in a foreign language, or if they are part of a Polish-language program but involve foreign specialists or international students. In the latter case, the language of examination or course credit is determined through consultation with the Group Representative. Moreover, students may write their diploma thesis in a foreign language with the dean's approval, even if the program is conducted in Polish. These provisions are detailed in §8(1)-(5) of the text, ensuring that language use aligns with program structure and student needs while maintaining institutional oversight.",0.25700866162722613,0.9351100458440432
"What are the specific conditions under which a student may be removed from a class, and how is such an absence classified?","According to the provided Knowledge Base, a student may be removed from a class due to unjustified absence from 4 classes as part of the same form of classes in the selected subject covered by the study plan.

This information is found in the source with id ""0"" from the Sources section, which is not explicitly stated to be from Knowledge Graph (KG) or Vector Data (DC), and file_path is unknown.

Please note that the Knowledge Base does not provide detailed information on the specific conditions under which a student may be removed from a class. However, it does mention that removal from the student register due to absence from compulsory classes occurs in the event of unjustified absence from 4 classes as part of the same form of classes in the selected subject covered by the study plan.

Here are the relevant details:

*   Unjustified absence from 4 classes as part of the same form of classes in the selected subject covered by the study plan.
*   The absence is classified as removal from the student register due to absence from compulsory classes.

References:

*   [KG] unknown_source (Source with id ""0"")
*   [KG] unknown_source (Source with id ""1"")
*   [KG] unknown_source (Source with id ""2"")
*   [KG] unknown_source (Source with id ""3"")
*   [KG] unknown_source (Source with id ""4"")","A student may be removed from a class if their behavior threatens the life or health of other participants or disrupts the ability to conduct or participate in the class. This is explicitly stated in §13.3. In such instances, the absence is classified as unjustified. This classification is clearly mentioned in the sentence: ""In such a case, the student's absence is considered unjustified,"" directly following the description of the disqualifying behaviors.",0.1624537706702229,0.9033119559438347
What are the responsibilities of academic teachers regarding the creation and use of the “eNauczanie” platform for each subject?,"According to the provided Knowledge Base, academic teachers are responsible for using the ""eNauczanie"" platform for communicating learning outcomes. This is mentioned in the relationship between ""Teacher"" and ""eNauczanie"", which has a weight of 8.0 and a rank of 7.

Here is a summary of the responsibilities of academic teachers regarding the creation and use of the “eNauczanie” platform for each subject:

* Academic teachers are responsible for using the ""eNauczanie"" platform for communicating learning outcomes.
* The ""eNauczanie"" platform is used for grading system, which implies that academic teachers are responsible for updating grades and learning outcomes on the platform.

Please note that the responsibilities mentioned above are based on the information provided in the Knowledge Base and may not be an exhaustive list of the responsibilities of academic teachers regarding the ""eNauczanie"" platform.

References:
* [KG] ""57"", ""source"": ""Teacher"", ""target"": ""eNauczanie"", ""description"": ""Teacher uses eNauczanie for communicating learning outcomes."", ""keywords"": ""educational platform, grading system"", ""weight"": ""8.0"", ""rank"": ""7"", ""created_at"": ""UNKNOWN"", ""file_path"": ""unknown_source""","Academic teachers are responsible for creating an online course in the “eNauczanie” platform for each subject. This course must include all relevant materials and information such as detailed rules for passing the subject, class materials, and updates including learning outcome results as specified in §13.5. The course must be available to students no later than the first day of classes. Additionally, the teacher is responsible for linking the course to the subject in the ‘Moja PG’ system. These obligations ensure consistent access to course materials and communication for students.",0.3455313703408927,0.9643766142494515
"Under what circumstances can a student request an examination to be conducted before a committee, and what is the composition of such a committee?","# Examination Before a Committee

According to the Knowledge Base, a student can request an examination to be conducted before a committee under certain circumstances. However, the specific details regarding these circumstances are not explicitly mentioned in the provided information.

# Composition of the Committee

The Knowledge Base does provide information about the composition of the Diploma Examination Committee, which is responsible for assessing the student's answers during the diploma examination. The committee is appointed by the Dean, and its members are likely to include academic experts in the relevant field.

However, to determine the exact composition of the committee and the circumstances under which a student can request an examination, further information from the Knowledge Base or external sources would be necessary.

## References

* [KG] file_path: unknown_source (Source 0)
* [KG] file_path: unknown_source (Source 1)","A student may request a committee examination if they believe there were irregularities during the original exam, the scope of the exam exceeded what was specified in the subject card, or if the academic teacher failed to meet deadlines described in §13(6), (7), (8), or §14(4), as outlined in §14.5. The request must include a detailed justification and be submitted within 14 days of the original exam results, as per §14.6. The examination committee consists of the dean as chairperson, the original examiner, a specialist appointed by the dean, and a specialist indicated by the student in the subject matter or a related subject (§14.7). At the student’s request, a Student Government representative may also join (§14.8). This structure ensures impartiality and a thorough review process.",0.3276174159537695,0.0
What are the specific categories of students for whom the dean may agree to implement an individual study plan upon receiving a request within 14 days of the semester's start?,"To answer your question, we need to refer to the relevant information in the Knowledge Base.

According to the Knowledge Base, there is a relationship between the dean and students that mentions the dean making decisions about individual study plans. However, the specific categories of students are not explicitly mentioned.

But, we can infer that students who have been removed from the student register may be eligible for reinstatement of their student rights, which involves creating an individual study plan. This is mentioned in the Knowledge Base under the section ""Reinstatement of Student Rights"".

Additionally, students who have accumulated at least 45 ECTS credits at a given faculty may also be eligible for reinstatement of their student rights.

It's worth noting that these are the only specific categories of students mentioned in the Knowledge Base that may be eligible for individual study plans upon reinstatement of their student rights.

References:
* [KG] unknown_source (Relationship between dean and students)
* [KG] unknown_source (Reinstatement of Student Rights)
* [DC] unknown_source (Section on individual study plans)
* [KG] unknown_source (ECTS credits)
* [KG] unknown_source (Student rights reinstatement conditions)","According to §17(9) of the text, the dean may agree to implement an individual study plan for students who submit a request within 14 days of the semester's start, particularly if they fall into any of the following ten categories: (1) those pursuing part of their studies at another university, (2) those enrolled in second-cycle studies in an extended mode, (3) students pursuing more than one field of study, (4) those who have changed their field of study or faculty, (5) students with a specific level and type of disability, (6) those repeating a semester and taking subjects from subsequent semesters, (7) students returning from a gap year, resuming their studies, or transferred from another university, (8) students unable to attend regular classes due to medically confirmed health conditions, (9) students who are athletes with national or higher-level achievements, and (10) students who are actively involved in university-level or higher student organizations. This answer is correct because the text explicitly lists these ten categories in §17(9).",0.14917269481851614,0.7514572186349654
