user_input,response,reference,answer_correctness,answer_relevancy
What are the obligations a student must fulfill after receiving approval for a transfer from another university to Gdańsk University of Technology?\,"**Transfer Obligations at Gdańsk University of Technology**
===========================================================

After receiving approval for a transfer from another university to Gdańsk University of Technology, a student must fulfill the following obligations:

### Taking the Oath
-------------------

*   A student must take the oath defined in the Statute of Gdańsk University of Technology.
*   Formal confirmation of taking the oath takes place on the student's individual account in the Moja PG system.

### Signing the Contract
------------------------

*   A student must sign the contract referred to in §9(1)(4) of these rules.

### Undergoing Training Courses
-------------------------------

*   A student is obliged to undergo training courses referred to in §3(6).

### Other Obligations
---------------------

*   A student must take an oath, pursuant to the Statute of Gdańsk University of Technology.
*   A student must sign the contract referred to in §9(1)(4) of these rules.
*   A student must undergo training courses referred to in §3(6).

### References
--------------

*   [KG] unknown_source
*   [KG] unknown_source
*   [KG] unknown_source
*   [KG] unknown_source
*   [KG] unknown_source","According to the text, once a student receives approval to transfer from another university, they are required to fulfill three specific obligations. First, the student must take an oath in accordance with the Statute of Gdańsk University of Technology. Second, they must sign a contract as referenced in §9(1)(4) of the university rules. Third, they are required to undergo specific training courses outlined in §3(6), which include training on health and safety, library usage, study regulations, the Moja PG electronic system, and preparation for distance learning methods. These obligations are explicitly listed in §2, point 4, section 3 of the document.",0.7006883762000579,0.921497408138226
What procedures are outlined in the rules for confirming learning outcomes as a method of undertaking studies at Gdańsk University of Technology?,"**Confirmation of Learning Outcomes**
=====================================

According to the rules outlined in the document, confirmation of learning outcomes is conducted as one of the procedures for undertaking studies at Gdańsk University of Technology. The procedures for confirming learning outcomes are as follows:

### Rules for Confirmation of Learning Outcomes

1. Proceedings for admission by transfer from another university are conducted by a committee appointed by a person authorized by the rector.
2. Learning outcomes are confirmed in the scope corresponding to the learning outcomes specified in the curriculum.
3. As a result of confirming the learning outcomes, no more than 50% of ECTS credits assigned to the classes included in the study program may be credited.
4. The order of admission is determined by the result of learning outcome confirmation.
5. The dean may appoint a tutor for the student accepted for studies as a result of confirming the learning outcomes.

### Detailed Rules for Confirmation of Learning Outcomes

The detailed rules regarding confirmation of learning outcomes at Gdańsk University of Technology are set out in separate regulations.

### References
----------------

* [KG] unknown_source
* [KG] unknown_source (page 5)
* [KG] unknown_source (page 4)
* [DC] unknown_source (section §2)
* [KG] unknown_source (section §2)","The procedures for confirming learning outcomes are described under §2, point 5. They include the initiation of proceedings by a committee appointed by a person authorized by the rector. The confirmation process verifies whether the applicant's prior knowledge, skills, and social competencies match the learning outcomes specified in the curriculum. A maximum of 50% of ECTS credits for a given study program can be awarded through this process. Admission is based on the results of the learning outcomes confirmation. Additionally, a dean may assign a tutor to a student admitted through this method, and further detailed regulations are established separately.",0.7992553689215868,0.9141934755998352
What training components are mandatory for students during their first semester at Gdańsk University of Technology?,"# Mandatory Training Components for First Semester Students
## Overview
The rules specify the mandatory training components for students during their first semester at Gdańsk University of Technology.

## Mandatory Components
According to the provided rules, the following components are mandatory for students during their first semester:

* Confirmation of learning outcomes
* Registration for the semester

These components are crucial for students to ensure they are properly admitted to studies and have access to the necessary resources and classes.

## Additional Requirements
While not explicitly stated as mandatory, the rules imply that students may need to attend classes included in the curriculum of the given semester, as part of the registration process.

## Conclusion
In summary, students during their first semester at Gdańsk University of Technology must undergo confirmation of learning outcomes and register for the semester. These components are essential for a smooth start to their academic journey.

## References
* [KG] unknown_source (Study Rules at Gdańsk University of Technology)
* [KG] unknown_source (Study Rules at Gdańsk University of Technology) - Section I. GENERAL PROVISIONS
* [KG] unknown_source (Study Rules at Gdańsk University of Technology) - Section II. UNDERTAKING STUDIES
* [KG] unknown_source (Study Rules at Gdańsk University of Technology) - Section III. ORGANIZATION OF STUDIES
* [KG] unknown_source (Study Rules at Gdańsk University of Technology) - Section VII. REGISTRATION RULES","During their first semester, students at Gdańsk University of Technology are required to complete mandatory training in several areas. These include health and safety, library training, the university's study rules, usage of the “Moja PG” system, and preparation for participating in distance learning classes. This requirement is specified in §3, point 6 of the text, which outlines the components of the training necessary to ensure students are adequately prepared for their academic responsibilities and the university’s operational systems.",0.5318355285466785,0.9871500144467872
What responsibilities do students have regarding their personal information and the communication channels used for study-related matters at Gdańsk University of Technology?,"**Student Responsibilities at Gdańsk University of Technology**
===========================================================

According to the provided document, students have the following responsibilities regarding their personal information and communication channels:

### Personal Information

* Students are not explicitly mentioned to have specific responsibilities regarding their personal information. However, it is implied that students are expected to provide accurate and up-to-date information to the university.

### Communication Channels

* Students are responsible for checking their individual student accounts in the ‘Moja PG’ system for information about changes made in the study program (§10, point 20).
* Students are also responsible for submitting applications on electronic forms available in the Moja PG system (§10, point 21).

### General Responsibility

* Students are expected to comply with the rules and regulations of Gdańsk University of Technology, including those related to communication and personal information.

### References
----------------

* [KG] unknown_source
* [DC] unknown_source
* [KG] unknown_source
* [DC] unknown_source
* [KG] unknown_source","Students at Gdańsk University of Technology are responsible for promptly notifying university authorities of any changes in their personal information, such as surname, first name, or address, especially if such changes may impact their eligibility for financial assistance. Additionally, students are required to stay informed by regularly consulting information posted on the university's website, the ""eNauczanie"" portal, and communications sent to their official university email and individual student account in the ‘Moja PG’ system. This information must be reviewed within seven days of receipt. In all matters related to their studies, students must use their university-assigned email account for electronic correspondence, in accordance with the applicable administrative procedures. This is outlined in §9(1)(5)-(7) of the text.",0.5033591304094992,0.9598180493329233
How does the Gdańsk University of Technology ensure transparency and accessibility of its study programs and subject-related documentation?,"**Transparency and Accessibility of Study Programs and Subject-Related Documentation at Gdańsk University of Technology**

According to the provided study rules, Gdańsk University of Technology ensures transparency and accessibility of its study programs and subject-related documentation through the following means:

*   **Individual student account in “Moja PG” system**: The university provides an account in the electronic system 'Moja PG', which contains information on the student's course of studies and current status. This allows students to easily access and track their academic progress.
*   **Subject card**: The subject card includes a detailed description of each subject, including learning outcomes, ECTS credits, prerequisites, and rules for obtaining credits. This ensures that students have access to accurate and comprehensive information about the subjects they are enrolled in.
*   **Study plan**: The study plan is a schedule for subjects included in a curriculum, which helps students plan their academic path and ensure that they meet the necessary requirements for graduation.
*   **Confirmation of learning outcomes**: The university allows students to obtain up to 50% of ECTS credits based on knowledge, skills, and social competence obtained outside the education or study system. This provision promotes flexibility and recognizes students' prior learning experiences.
*   **Electronic system**: The use of an electronic system like 'Moja PG' suggests that the university has implemented digital solutions to manage and disseminate information, making it more accessible to students.

**References**

*   [KG] File path: unknown_source (Section II. UNDERTAKING STUDIES)
*   [KG] File path: unknown_source (Section I. GENERAL PROVISIONS)
*   [KG] File path: unknown_source (Section V. SUBJECT COMPLETION AND CREDIT POINT SYSTEM RULES)
*   [KG] File path: unknown_source (Section VI. INDIVIDUAL STUDY PLAN AND CURRICULUM)
*   [KG] File path: unknown_source (Section VII. REGISTRATION RULES)","The university ensures transparency by publishing study programs in the Public Information Bulletin (BIP) within 14 days of their adoption and making any changes to these programs available at least one month before the relevant semester begins. Academic teachers must complete subject cards in the ‘Moja PG’ portal, which are then published in the ECTS catalog for curriculum subjects within 14 days of the program's adoption, and for optional subjects no later than 14 days before student registration. Additionally, subject cards may be updated during the academic cycle. The schedule of classes and consultation hours must also be publicly announced in advance, ensuring that students have access to timely and accurate information. These procedures are specified in §6(1)-(5) of the text.",0.3236836166767176,0.9944387241645296
"What are the specific conditions under which a student may be removed from a class, and how is such an absence classified?","**Student Removal from Class**
================================

According to the provided regulations, a student may be removed from the student register due to absence from compulsory classes under the following conditions:

### Unjustified Absence

*   The student must be absent from 4 classes as part of the same form of classes in the selected subject covered by the study plan.
*   The absence is unjustified, implying that the student did not provide a valid reason for their absence.

### Resignation

*   The student submits a declaration of resignation from studies in the Moja PG system.
*   The student fails to submit a registration application, as provided for in §28(9).

### Lack of Progress in Studies

*   Students who have been registered and fail to complete the same semester three times may be excluded from the student register on account of lack of progress in their studies.

**References**
===============

*   [KG] unknown_source: Paragraph 7
*   [KG] unknown_source: Paragraph 8
*   [KG] unknown_source: Paragraph 9
*   [KG] unknown_source: Paragraph 10
*   [KG] unknown_source: Paragraph 11","A student may be removed from a class if their behavior threatens the life or health of other participants or disrupts the ability to conduct or participate in the class. This is explicitly stated in §13.3. In such instances, the absence is classified as unjustified. This classification is clearly mentioned in the sentence: ""In such a case, the student's absence is considered unjustified,"" directly following the description of the disqualifying behaviors.",0.3368047773297246,0.7798137784894464
What are the responsibilities of academic teachers regarding the creation and use of the “eNauczanie” platform for each subject?,"# Responsibilities of Academic Teachers Regarding the ""eNauczanie"" Platform

According to the provided information, academic teachers have the following responsibilities regarding the creation and use of the ""eNauczanie"" platform for each subject:

* Information on the hours of consultation is provided by the academic teacher who conducts the classes, not later than 14 days after starting the classes. (Section 2, Point 5)
* A detailed schedule of classes with the names of academic teachers is announced on the ‘Moja PG’ website or the Faculty website at least 7 days before the beginning of each semester. (Section 2, Point 4)
* Subject cards are completed in the ‘Moja PG’ portal by academic teachers responsible for the subject and published in the ECTS catalog by the ECTS catalog coordinator. (Section 2, Point 2)

It appears that the ""eNauczanie"" platform is not explicitly mentioned in the provided text, but it seems to be related to the ""Moja PG"" portal, which is used for various academic purposes.

# References

* [KG] unknown_source
* [DC] unknown_source
* [KG] unknown_source
* [DC] unknown_source
* [KG] unknown_source","Academic teachers are responsible for creating an online course in the “eNauczanie” platform for each subject. This course must include all relevant materials and information such as detailed rules for passing the subject, class materials, and updates including learning outcome results as specified in §13.5. The course must be available to students no later than the first day of classes. Additionally, the teacher is responsible for linking the course to the subject in the ‘Moja PG’ system. These obligations ensure consistent access to course materials and communication for students.",0.3102295785135932,0.9622089030091204
"Under what circumstances can a student request an examination to be conducted before a committee, and what is the composition of such a committee?","**Requesting an Examination Before a Committee**
=====================================================

According to §14 of the provided document, a student can request an examination to be conducted before a committee in the following circumstances:

*   During the original exam, there were irregularities in its conduct or in the principles of its marking process.
*   The scope of the examination carried out exceeds the scope specified in the subject card.
*   The academic teacher did not comply with the deadlines specified in §13(6), (7) and (8) and in §14(4).

Additionally, a student can request a committee examination within 14 days of the announcement of the original exam results, presenting a detailed justification of the charges.

**Composition of the Examination Committee**
=============================================

The examination committee, referred to in paragraph 5, consists of:

*   The dean as chairperson
*   The examiner who conducted the examination in question
*   A specialist appointed by the dean in the subject matter of the exam or a related subject
*   A specialist indicated by the student in the subject matter of the examination or a related subject

At the request of the student, the examination committee can be joined by a representative of the Student Government.

**References**
---------------

*   [KG] unknown_source §14
*   [KG] unknown_source §15
*   [KG] unknown_source §16
*   [KG] unknown_source paragraph 5
*   [KG] unknown_source paragraph 6","A student may request a committee examination if they believe there were irregularities during the original exam, the scope of the exam exceeded what was specified in the subject card, or if the academic teacher failed to meet deadlines described in §13(6), (7), (8), or §14(4), as outlined in §14.5. The request must include a detailed justification and be submitted within 14 days of the original exam results, as per §14.6. The examination committee consists of the dean as chairperson, the original examiner, a specialist appointed by the dean, and a specialist indicated by the student in the subject matter or a related subject (§14.7). At the student’s request, a Student Government representative may also join (§14.8). This structure ensures impartiality and a thorough review process.",0.9197379525894704,0.8148298640481344
"What procedural requirements must be fulfilled for the approval and implementation of individual research studies, including interdisciplinary ones?","**Approval and Implementation of Individual Research Studies**

According to the provided document, the program and plan of individual research studies, including individual interdisciplinary studies, are determined by the student and their academic supervisor, pursuant to paragraph 4, and approved by the dean.

This means that the following procedural requirements must be fulfilled:

* The student and their academic supervisor determine the program and plan of the individual research studies, including interdisciplinary ones.
* The program and plan are approved by the dean.

**Reference to Relevant Document Section**

This information can be found in section 11 of the provided document.

**References**

* [KG] unknown_source: Section 11
* [KG] unknown_source: Paragraph 4","The text states in §17(11) that the program and plan for individual research studies, including interdisciplinary studies, must be determined jointly by the student and their academic supervisor. Furthermore, this program must comply with the requirements set forth in §17(4) and must be approved by the dean. This answer is accurate as it aligns directly with the procedural requirements described in the specified paragraph, ensuring both academic guidance and administrative approval are part of the process.",0.7202088732067491,0.7828358435505781
"Under what conditions can students of master’s degree programs extend their studies for one semester, and what academic credit is associated with this extension?","**Extension of Master's Degree Studies**
=====================================

According to the provided document, students of master's degree studies can apply for an extension of their studies by one semester, in order to complete a long-term industrial research internship. This extension is associated with the award of 30 ECTS credits.

**Conditions for Extension**
---------------------------

To be eligible for this extension, students must meet the following conditions:

*   Be enrolled in a master's degree program
*   Apply for an extension of their studies
*   Plan to complete a long-term industrial research internship

**Academic Credit**
------------------

The extension of studies is associated with the award of 30 ECTS credits.

**References**
--------------

*   [KG] unknown_source
*   [DC] unknown_source
*   [KG] unknown_source
*   [DC] unknown_source
*   [KG] unknown_source

Note: The file path is unknown as it was not provided in the Document Chunks.","As stated in §17(12), students enrolled in master’s degree programs may apply for a one-semester extension of their studies specifically to complete a long-term industrial research internship. Upon completion, they are awarded 30 ECTS credits for the internship. The terms and conditions of such internships are detailed in a separate regulation adopted by the rector, and permission to undertake the internship must be granted by the dean. This answer is substantiated by the precise language of §17(12), which outlines the eligibility, credit allocation, and procedural framework for the extension.",0.5120324900093016,0.7907745099352574
