user_input,response,reference,answer_correctness,answer_relevancy
What are the obligations a student must fulfill after receiving approval for a transfer from another university to Gdańsk University of Technology?\,"**Transfer Obligations at Gdańsk University of Technology**

After receiving approval for a transfer from another university to Gdańsk University of Technology, a student must fulfill the following obligations:

### Taking the Oath
The student must take the oath defined in the Statute of Gdańsk University of Technology.

### Formal Confirmation
Formal confirmation of taking the oath takes place on the student's individual account in the Moja PG system.

### Obtaining a Student ID Card
The student has the right to obtain a student ID card.

### Completion of Mandatory Training
During the first semester of studies at Gdańsk University of Technology, students undergo mandatory training, including:

* Health and safety
* Library training
* Study rules
* The use of the ‘Moja PG’ system
* Preparation for participation in classes conducted using distance learning methods and techniques

### Signing the Contract
The student must sign the contract referred to in §9(1)(4) of these rules.

### Undergoing Training Courses
The student must undergo training courses referred to in §3(6).

### Other Obligations
The student's rights and obligations expire on the day of graduation or deletion from the student register; the person who has completed bachelor’s degree studies preserves the student rights until October 31 of the year in which they graduated, excluding the right to financial assistance.

### References
* [KG] unknown_source
* [KG] unknown_source
* [KG] unknown_source
* [KG] unknown_source
* [KG] unknown_source","According to the text, once a student receives approval to transfer from another university, they are required to fulfill three specific obligations. First, the student must take an oath in accordance with the Statute of Gdańsk University of Technology. Second, they must sign a contract as referenced in §9(1)(4) of the university rules. Third, they are required to undergo specific training courses outlined in §3(6), which include training on health and safety, library usage, study regulations, the Moja PG electronic system, and preparation for distance learning methods. These obligations are explicitly listed in §2, point 4, section 3 of the document.",0.7752535047804414,0.9176841599351254
What procedures are outlined in the rules for confirming learning outcomes as a method of undertaking studies at Gdańsk University of Technology?,"**Confirmation of Learning Outcomes as a Method of Undertaking Studies**

According to the rules outlined in the document, confirmation of learning outcomes is conducted as a procedure for undertaking studies at Gdańsk University of Technology. The following steps are outlined for this procedure:

* Proceedings for admission by transfer from another university are conducted by a committee appointed by a person authorized by the rector.
* Learning outcomes are confirmed in the scope corresponding to the learning outcomes specified in the curriculum.
* As a result of confirming the learning outcomes, no more than 50% of ECTS credits assigned to the classes included in the study program may be credited.
* The order of admission is determined by the result of learning outcome confirmation.
* The dean may appoint a tutor for the student accepted for studies as a result of confirming the learning outcomes.

These steps provide the procedures for confirming learning outcomes as a method of undertaking studies at Gdańsk University of Technology.

**References**

* [KG] unknown_source
* [DC] unknown_source
* [KG] unknown_source
* [DC] unknown_source
* [KG] unknown_source","The procedures for confirming learning outcomes are described under §2, point 5. They include the initiation of proceedings by a committee appointed by a person authorized by the rector. The confirmation process verifies whether the applicant's prior knowledge, skills, and social competencies match the learning outcomes specified in the curriculum. A maximum of 50% of ECTS credits for a given study program can be awarded through this process. Admission is based on the results of the learning outcomes confirmation. Additionally, a dean may assign a tutor to a student admitted through this method, and further detailed regulations are established separately.",0.7060305549777135,0.9721505281294734
What responsibilities do students have regarding their personal information and the communication channels used for study-related matters at Gdańsk University of Technology?,"**Personal Information and Communication Channels**
=====================================================

At Gdańsk University of Technology, students have the following responsibilities regarding their personal information and communication channels used for study-related matters:

### Personal Information

According to §10, students have the responsibility to:

* **Submit applications** on electronic forms available in the Moja PG system and in the manner provided for by applicable law.
* **Justify absences** from classes, leaves of absence from classes, and leaves from classes with the possibility of verification of the learning outcomes obtained, as specified in the study program referred to in §13(4) and (9) and in §28.

### Communication Channels

Students are also responsible for:

* **Using the university library resources**.
* **Participating, through their representatives, in decision-making activities of the collegial bodies at Gdańsk University of Technology**, pursuant to the provisions of the Act and the University Statute.
* **Referring to the dean in the matters relating to their studies**.
* **Benefiting, during their studies, from student financial assistance**, in accordance with the rules defined in the Act and in the rules issued on the basis thereof.

### Communication Preferences

Students also have the right to:

* **Receive information about changes made in the study program during the education cycle to the individual student's account in the “Moja PG” system within 14 days of their introduction**.
* **Obtain information concerning them through their individual student accounts in the ‘Moja PG’ system, with at least 7 days’ notice**.

### References
================

* [KG] unknown_source §10
* [KG] unknown_source §13
* [KG] unknown_source §28
* [KG] unknown_source §29
* [KG] unknown_source §30","Students at Gdańsk University of Technology are responsible for promptly notifying university authorities of any changes in their personal information, such as surname, first name, or address, especially if such changes may impact their eligibility for financial assistance. Additionally, students are required to stay informed by regularly consulting information posted on the university's website, the ""eNauczanie"" portal, and communications sent to their official university email and individual student account in the ‘Moja PG’ system. This information must be reviewed within seven days of receipt. In all matters related to their studies, students must use their university-assigned email account for electronic correspondence, in accordance with the applicable administrative procedures. This is outlined in §9(1)(5)-(7) of the text.",0.4161596568119769,0.9821898657113036
How does the Gdańsk University of Technology ensure transparency and accessibility of its study programs and subject-related documentation?,"# Ensuring Transparency and Accessibility of Study Programs and Documentation

The Gdańsk University of Technology ensures transparency and accessibility of its study programs and subject-related documentation through various means.

## Availability of Study Programs and Documentation

According to the Study Rules, the University provides access to its study programs and subject-related documentation through the ""Moja PG"" system, which is an electronic system containing information on the student's course of studies and current status. This system allows students to access their individual student account, where they can view their study plan, subject cards, and other relevant information.

## Publicly Available Information

The University also makes publicly available information about its study programs and subject-related documentation. The Study Rules are available to the public, and the University provides a table of contents outlining the structure and content of the rules. This allows students, faculty members, and other stakeholders to access the necessary information without having to request it specifically.

## Accessibility of Documentation

The University ensures that its study programs and subject-related documentation are accessible to all students, regardless of their abilities. The Study Rules provide definitions for various terms used in the rules, including ""learning outcomes,"" ""individual student account in 'Moja PG' system,"" and ""subject card."" These definitions help students understand the content and requirements of the study programs.

## References
[KG] unknown_source
[KG] unknown_source
[KG] unknown_source
[KG] unknown_source
[KG] unknown_source","The university ensures transparency by publishing study programs in the Public Information Bulletin (BIP) within 14 days of their adoption and making any changes to these programs available at least one month before the relevant semester begins. Academic teachers must complete subject cards in the ‘Moja PG’ portal, which are then published in the ECTS catalog for curriculum subjects within 14 days of the program's adoption, and for optional subjects no later than 14 days before student registration. Additionally, subject cards may be updated during the academic cycle. The schedule of classes and consultation hours must also be publicly announced in advance, ensuring that students have access to timely and accurate information. These procedures are specified in §6(1)-(5) of the text.",0.5744965751439689,0.9999999999999516
"What are the specific conditions under which a student may be removed from a class, and how is such an absence classified?","**Removal from the Student Register due to Absence**
=====================================================

According to the provided regulations, a student may be removed from the student register due to absence from compulsory classes in the following circumstances:

* Unjustified absence from 4 classes as part of the same form of classes in the selected subject covered by the study plan (Paragraph 7).

**Classification of Absence**
-------------------------

The absence is classified as unjustified, implying that the student's reasons for missing classes are not acceptable according to the university's regulations.

**Note**
----

The regulations do not specify the consequences of justified absence from classes. It is possible that the regulations provide for a different classification or consequences for justified absence, but this information is not provided in the given text.

References
----------

* [KG] unknown_source
* [KG] unknown_source (Paragraph 7)","A student may be removed from a class if their behavior threatens the life or health of other participants or disrupts the ability to conduct or participate in the class. This is explicitly stated in §13.3. In such instances, the absence is classified as unjustified. This classification is clearly mentioned in the sentence: ""In such a case, the student's absence is considered unjustified,"" directly following the description of the disqualifying behaviors.",0.4356912254853584,0.8498265433849195
What are the responsibilities of academic teachers regarding the creation and use of the “eNauczanie” platform for each subject?,"# Academic Teachers Responsibilities Regarding ""eNauczanie"" Platform

According to the provided document, academic teachers have the following responsibilities regarding the creation and use of the “eNauczanie” platform for each subject:

## Providing Information on Hours of Consultation

* Academic teachers are responsible for providing information on the hours of consultation for each subject, which should be done not later than 14 days after starting the classes. (Document Chunk 5)

## Updating Subject Cards

* Academic teachers are responsible for updating subject cards in the ‘Moja PG’ portal, which can be done during the learning cycle, subject to paragraph 2. (Document Chunk 3)

## Publishing Detailed Schedule of Classes

* Academic teachers are responsible for publishing a detailed schedule of classes with their names on the ‘Moja PG’ website or the Faculty website, which should be done at least 7 days before the beginning of each semester. (Document Chunk 4)

## Familiarization with Regulations and Information

* Academic teachers are expected to familiarize themselves with regulations and information posted on the website and in the “eNauczanie” portal of Gdańsk University of Technology.

## References

* [KG] unknown_source
* [DC] unknown_source","Academic teachers are responsible for creating an online course in the “eNauczanie” platform for each subject. This course must include all relevant materials and information such as detailed rules for passing the subject, class materials, and updates including learning outcome results as specified in §13.5. The course must be available to students no later than the first day of classes. Additionally, the teacher is responsible for linking the course to the subject in the ‘Moja PG’ system. These obligations ensure consistent access to course materials and communication for students.",0.29493350015192,0.9629255907530444
"Under what circumstances can a student request an examination to be conducted before a committee, and what is the composition of such a committee?","**Request for Examination by Committee**
=====================================

According to §14, a student can request an examination to be conducted before a committee in the following circumstances:

*   Irregularities in the conduct or marking process of the original exam.
*   The scope of the examination exceeds the scope specified in the subject card.
*   The academic teacher did not comply with the deadlines specified in §13(6), (7) and (8) and in §14(4).

Additionally, §6 states that a student, a representative of the Student Government, or the examiner can submit a request to conduct an examination before a committee within 14 days of the announcement of the original exam results, presenting a detailed justification of the charges.

**Composition of the Examination Committee**
-----------------------------------------

The examination committee consists of:

*   The dean as chairperson.
*   The examiner who conducted the examination in question.
*   A specialist appointed by the dean in the subject matter of the exam or a related subject.
*   A specialist indicated by the student in the subject matter of the examination or a related subject.

At the request of the student, the examination committee can also be joined by a representative of the Student Government.","A student may request a committee examination if they believe there were irregularities during the original exam, the scope of the exam exceeded what was specified in the subject card, or if the academic teacher failed to meet deadlines described in §13(6), (7), (8), or §14(4), as outlined in §14.5. The request must include a detailed justification and be submitted within 14 days of the original exam results, as per §14.6. The examination committee consists of the dean as chairperson, the original examiner, a specialist appointed by the dean, and a specialist indicated by the student in the subject matter or a related subject (§14.7). At the student’s request, a Student Government representative may also join (§14.8). This structure ensures impartiality and a thorough review process.",0.8627657385512623,0.9599943861946006
"What procedural requirements must be fulfilled for the approval and implementation of individual research studies, including interdisciplinary ones?","**Approval and Implementation of Individual Research Studies**

According to the provided document, the procedural requirements for the approval and implementation of individual research studies, including interdisciplinary ones, are as follows:

The program and plan of individual research studies, including individual interdisciplinary studies, are determined by the student and their academic supervisor, pursuant to paragraph 4, and approved by the dean.

**Key Requirements**

*   The student and their academic supervisor must jointly determine the program and plan of the individual research studies.
*   The dean must approve the program and plan.
*   The approval process is based on paragraph 4 of the document.

**Interdisciplinary Studies**

Individual interdisciplinary studies are also subject to the same approval process as individual research studies. The document does not provide specific requirements for interdisciplinary studies, but it is likely that the same procedures apply.

**References**

*   [KG] unknown_source: paragraph 11
*   [KG] unknown_source: paragraph 4","The text states in §17(11) that the program and plan for individual research studies, including interdisciplinary studies, must be determined jointly by the student and their academic supervisor. Furthermore, this program must comply with the requirements set forth in §17(4) and must be approved by the dean. This answer is accurate as it aligns directly with the procedural requirements described in the specified paragraph, ensuring both academic guidance and administrative approval are part of the process.",0.8503042750669626,0.8898352017079496
"Under what conditions can students of master’s degree programs extend their studies for one semester, and what academic credit is associated with this extension?","**Extension of Master's Degree Studies**
=====================================

According to the provided document, students of master's degree studies can apply for an extension of their studies by one semester to complete a long-term industrial research internship. This extension is associated with the award of 30 ECTS credits.

**Conditions for Extension**
---------------------------

To be eligible for this extension, students must meet the following conditions:

*   They must be enrolled in a master's degree program.
*   They must apply for an extension to complete a long-term industrial research internship.
*   They must be approved by the dean.

**Academic Credit**
-------------------

The extension is associated with the award of 30 ECTS credits for the industrial research internship.

References
------------

*   [KG] unknown_source
*   [DC] unknown_source","As stated in §17(12), students enrolled in master’s degree programs may apply for a one-semester extension of their studies specifically to complete a long-term industrial research internship. Upon completion, they are awarded 30 ECTS credits for the internship. The terms and conditions of such internships are detailed in a separate regulation adopted by the rector, and permission to undertake the internship must be granted by the dean. This answer is substantiated by the precise language of §17(12), which outlines the eligibility, credit allocation, and procedural framework for the extension.",0.8151404687462103,0.8490967051571553
What are the specific conditions that must be jointly fulfilled for a diploma thesis to be considered successfully submitted at Gdańsk University of Technology?,"**Conditions for Successful Submission of Diploma Thesis**
===========================================================

According to the provided document, a diploma thesis is considered to be successfully submitted when the following conditions are fulfilled jointly:

### 1. Declaration of Independent Completion
The student submits a declaration of independent completion of the diploma thesis.

### 2. Uploading of Thesis to University Repository
The diploma thesis is uploaded with attachments to the university repository of written diploma theses using the “MojaPG”, university system.

### 3. Approval by Thesis Supervisor
The thesis supervisor approves the thesis and sends it for review.

These conditions must be jointly fulfilled for a diploma thesis to be considered successfully submitted at Gdańsk University of Technology.

**Reference**
------------

* [KG] unknown_source (paragraph 9)","A diploma thesis is considered successfully submitted at Gdańsk University of Technology only when the following three conditions are fulfilled together: first, the student must submit a declaration of independent completion of the diploma thesis; second, the thesis, along with any required attachments, must be uploaded to the university repository of written diploma theses using the “MojaPG” system; and third, the thesis supervisor must approve the thesis and send it for review. This is explicitly outlined in §21(9), which defines the joint nature of these requirements for successful thesis submission.",0.687331802208472,0.946222854092421
