question_full,question_preview,LightRAG,LightRAG,LightRAG,LightRAG,GraphRAG,GraphRAG,GraphRAG,GraphRAG,NaiveRAG,NaiveRAG,NaiveRAG,NaiveRAG
,,answer_relevancy,factual_correctness(mode=f1),factual_correctness(mode=recall),semantic_similarity,answer_relevancy,factual_correctness(mode=f1),factual_correctness(mode=recall),semantic_similarity,answer_relevancy,factual_correctness(mode=f1),factual_correctness(mode=recall),semantic_similarity
What are the obligations a student must fulfill after receiving approval for a transfer from another university to Gdańsk University of Technology?\,What are the obligations a student must fulfill after receiving approval for a transfer from another university to Gdańs,0.958,0.46,0.33,0.859,0.908,0.2,0.23,0.815,0.902,0.53,0.67,0.919
What procedures are outlined in the rules for confirming learning outcomes as a method of undertaking studies at Gdańsk University of Technology?,What procedures are outlined in the rules for confirming learning outcomes as a method of undertaking studies at Gdańsk ,0.914,0.5,0.6,0.685,0.914,0.11,0.17,0.624,0.972,0.36,0.4,0.706
What training components are mandatory for students during their first semester at Gdańsk University of Technology?,What training components are mandatory for students during their first semester at Gdańsk University of Technology?,0.987,0.78,0.78,0.878,0.981,0.25,0.25,0.726,0.0,0.25,0.25,0.85
What responsibilities do students have regarding their personal information and the communication channels used for study-related matters at Gdańsk University of Technology?,What responsibilities do students have regarding their personal information and the communication channels used for stud,0.948,0.4,0.33,0.86,0.8,0.2,0.17,0.783,0.982,0.2,0.18,0.765
How does the Gdańsk University of Technology ensure transparency and accessibility of its study programs and subject-related documentation?,How does the Gdańsk University of Technology ensure transparency and accessibility of its study programs and subject-rel,1.0,0.17,0.2,0.578,0.993,0.18,0.2,0.61,1.0,0.3,0.2,0.618
"Under what circumstances may classes at Gdańsk University of Technology be conducted in a foreign language, and how is the language of examination determined in such cases?","Under what circumstances may classes at Gdańsk University of Technology be conducted in a foreign language, and how is t",0.0,0.29,0.25,0.698,0.941,0.24,0.25,0.713,0.0,0.11,0.11,0.724
"What are the specific conditions under which a student may be removed from a class, and how is such an absence classified?","What are the specific conditions under which a student may be removed from a class, and how is such an absence classifie",0.0,0.0,0.0,0.748,0.694,0.18,0.29,0.689,0.85,0.0,0.0,0.743
What are the responsibilities of academic teachers regarding the creation and use of the “eNauczanie” platform for each subject?,What are the responsibilities of academic teachers regarding the creation and use of the “eNauczanie” platform for each ,0.552,0.0,0.0,0.6,0.998,0.22,0.22,0.783,0.963,0.12,0.1,0.805
"Under what circumstances can a student request an examination to be conducted before a committee, and what is the composition of such a committee?","Under what circumstances can a student request an examination to be conducted before a committee, and what is the compos",0.96,0.2,0.2,0.644,0.682,0.5,0.55,0.655,0.96,0.91,0.91,0.88
What are the specific categories of students for whom the dean may agree to implement an individual study plan upon receiving a request within 14 days of the semester's start?,What are the specific categories of students for whom the dean may agree to implement an individual study plan upon rece,0.794,0.7,0.62,0.783,0.863,0.26,0.25,0.727,0.0,0.11,0.08,0.617
"What procedural requirements must be fulfilled for the approval and implementation of individual research studies, including interdisciplinary ones?","What procedural requirements must be fulfilled for the approval and implementation of individual research studies, inclu",0.658,0.0,0.0,0.67,0.688,0.37,0.5,0.519,0.89,0.62,0.57,0.83
"Under what conditions can students of master’s degree programs extend their studies for one semester, and what academic credit is associated with this extension?","Under what conditions can students of master’s degree programs extend their studies for one semester, and what academic ",0.692,0.13,0.17,0.486,0.61,0.3,0.37,0.516,0.723,0.67,0.67,0.861
What are the specific conditions that must be jointly fulfilled for a diploma thesis to be considered successfully submitted at Gdańsk University of Technology?,What are the specific conditions that must be jointly fulfilled for a diploma thesis to be considered successfully submi,0.784,0.77,0.71,0.827,0.946,0.22,0.43,0.886,0.946,,,0.903
"According to the text, under what circumstances may a diploma thesis be submitted in the form of a published or accepted article, and what additional requirement must be met in such cases?","According to the text, under what circumstances may a diploma thesis be submitted in the form of a published or accepted",0.953,0.88,0.78,0.878,0.0,0.3,0.27,0.785,0.939,0.75,0.67,0.871
"How is the final result of master’s degree studies calculated, and what are the corresponding grade categories based on the calculated score?","How is the final result of master’s degree studies calculated, and what are the corresponding grade categories based on ",0.737,0.17,0.14,0.783,0.721,0.08,0.08,0.688,0.929,0.77,0.83,0.844
"Under what specific conditions may a student be removed from the student register for lack of progress in studies, according to §26?","Under what specific conditions may a student be removed from the student register for lack of progress in studies, accor",0.0,0.0,0.0,0.729,0.949,0.56,0.64,0.689,0.543,0.5,0.5,0.826
What are the procedural requirements and limitations a student must meet when applying for reinstatement of student rights after removal from the student register?,What are the procedural requirements and limitations a student must meet when applying for reinstatement of student righ,0.818,0.59,0.83,0.871,0.919,0.45,0.45,0.613,0.634,0.88,1.0,0.88
"What specific actions or omissions constitute a valid resignation from studies, resulting in removal from the student register?","What specific actions or omissions constitute a valid resignation from studies, resulting in removal from the student re",0.956,0.2,0.2,0.796,0.0,0.35,0.37,0.735,0.779,0.67,0.57,0.848
What rights and opportunities are granted to exceptionally gifted secondary school students who attend university classes at Gdańsk University of Technology?,What rights and opportunities are granted to exceptionally gifted secondary school students who attend university classe,0.0,0.4,0.33,0.751,1.0,0.69,0.9,0.862,0.0,0.29,0.25,0.521
Under what conditions can previously completed subjects by secondary school students be recognized or exempted when they apply for studies at Gdańsk University of Technology?,Under what conditions can previously completed subjects by secondary school students be recognized or exempted when they,0.953,0.36,0.29,0.875,0.943,0.21,0.29,0.8,0.884,0.82,0.78,0.883
