user_input,response,reference,answer_correctness,answer_relevancy,factual_correctness(mode=f1),factual_correctness(mode=recall),semantic_similarity
What are the obligations a student must fulfill after receiving approval for a transfer from another university to Gdańsk University of Technology?\,"# Obligations for Transferring Students at Gdańsk University of Technology

After receiving approval for a transfer from another university to Gdańsk University of Technology, students must fulfill several obligations to ensure a smooth transition.

## Registration and Enrollment

Transferring students must register and enroll in the university's system, providing necessary documents and information to complete the process [Data: Sources (15, 16, 17, 18, 19)].

## Course Selection and Scheduling

Students must select and schedule their courses, ensuring they meet the requirements for their chosen program and degree [Data: Sources (15, 16, 17, 18, 19)].

## Academic Advising

Transferring students are required to meet with academic advisors to discuss their academic plans, course selection, and any potential issues or concerns [Data: Sources (15, 16, 17, 18, 19)].

## Compliance with University Regulations

Students must comply with Gdańsk University of Technology's regulations, policies, and procedures, including those related to academic integrity, attendance, and student conduct [Data: Sources (15, 16, 17, 18, 19)].

## Communication with Faculty and Staff

Transferring students are expected to communicate effectively with faculty and staff, seeking help and support when needed to ensure their academic success [Data: Sources (15, 16, 17, 18, 19)].

## Timely Completion of Coursework

Students must complete their coursework in a timely manner, adhering to the university's academic calendar and deadlines [Data: Sources (15, 16, 17, 18, 19)].

## Meeting with Student Government and University Authorities

Transferring students may be required to meet with the Student Government of Gdańsk Tech and university authorities to discuss their transfer, academic plans, and any concerns or issues [Data: Sources (10, 11, 15, 16)].

## Compliance with Polish Law and University Statute

Students must comply with Polish law and the University Statute, which governs the university's operations and student life [Data: Sources (10, 11, 15, 16)].

## Support for Exceptionally Talented Young People

Institutions taking care of exceptionally talented young people support secondary school students, and the principal of the student's school gives consent for these students to attend university classes. Parents or legal guardians also give consent for these students to attend university classes [Data: Entities (id: 1, description: 'specific field, level, and profile based on the study program')].

Note: The obligations for transferring students may vary depending on individual circumstances and the specific requirements of Gdańsk University of Technology.","According to the text, once a student receives approval to transfer from another university, they are required to fulfill three specific obligations. First, the student must take an oath in accordance with the Statute of Gdańsk University of Technology. Second, they must sign a contract as referenced in §9(1)(4) of the university rules. Third, they are required to undergo specific training courses outlined in §3(6), which include training on health and safety, library usage, study regulations, the Moja PG electronic system, and preparation for distance learning methods. These obligations are explicitly listed in §2, point 4, section 3 of the document.",0.3667783912827949,0.9076348422436394,0.2,0.23,0.8149396520877015
What procedures are outlined in the rules for confirming learning outcomes as a method of undertaking studies at Gdańsk University of Technology?,"# Procedures for Confirming Learning Outcomes at Gdańsk University of Technology

The procedures for confirming learning outcomes at Gdańsk University of Technology are outlined in the university's rules and regulations. These procedures are designed to ensure that students meet the required standards and are equipped with the necessary skills and knowledge to succeed in their chosen field.

## Key Procedures

1. **Diploma Examination Rules**: The Faculty Board confirms diploma examination rules, which outline the procedures for conducting diploma examinations. These rules are essential for ensuring that students are assessed fairly and that the learning outcomes are accurately measured.
2. **Grade Changes**: Teachers are responsible for submitting completed protocols and grade changes, which are reviewed and approved by the Dean. This process ensures that grades are accurate and that students receive the correct feedback on their performance.
3. **Student Performance Evaluation**: Students are evaluated based on their performance in classes, laboratory work, seminars, workshops, and physical education classes. This evaluation is used to determine student progress and identify areas where students may need additional support.
4. **Confirmation of Learning Outcomes**: The Rector confirms learning outcomes, which are outlined in the university's curriculum. This confirmation ensures that students meet the required standards and are equipped with the necessary skills and knowledge to succeed in their chosen field.

## Importance of Procedures

The procedures for confirming learning outcomes at Gdańsk University of Technology are essential for ensuring that students meet the required standards and are equipped with the necessary skills and knowledge to succeed in their chosen field. These procedures provide a framework for evaluating student performance and identifying areas where students may need additional support.

## Conclusion

In conclusion, the procedures for confirming learning outcomes at Gdańsk University of Technology are outlined in the university's rules and regulations. These procedures are designed to ensure that students meet the required standards and are equipped with the necessary skills and knowledge to succeed in their chosen field.

### Moja PG System's Role in Confirming Learning Outcomes

The university's Moja PG system plays a crucial role in supporting the procedures for confirming learning outcomes as a method of undertaking studies at Gdańsk University of Technology. According to the rules, an individual student account in the 'Moja PG' system contains information on the student's course of studies and current status [Data: Sources (15, 16)].

The system allows for the confirmation of learning outcomes, which is a procedure that enables students to demonstrate their knowledge, skills, and social competence obtained outside the education or study system [Data: Sources (1, 5)].

This confirmation process is facilitated by the Moja PG system, which provides a platform for students to upload and store their learning outcomes, as well as for academic teachers to verify and award credits [Data: Sources (7, 23)].

In this way, the Moja PG system supports the university's procedures for confirming learning outcomes, making it easier for students to demonstrate their prior learning and for academic teachers to recognize and validate their achievements [Data: Sources (2, 7)].

### Faculty Board's Role in Diploma Examination Rules

The university's Faculty Board plays a crucial role in ensuring that diploma examination rules are followed. According to § 2 of the rules, the Faculty Board is responsible for establishing the details of the examination in compliance with the faculty rules, confirmed by the faculty board after consultation with Gdańsk Tech Student Government at the faculty [Data: Sources (1, 2, 3, 4, 5)]+more.

This suggests that the Faculty Board is involved in the decision-making process regarding the diploma examination rules and procedures. Additionally, § 3 states that the chairperson of the diploma examination committee should be the dean or an academic teacher who holds the title of a professor, or a university professor [Data: Sources (4, 5, 6, 7, 8)]+more.

### Communication of Diploma Examination Rules

The Faculty Board ensures that the diploma examination rules are communicated effectively to students and other stakeholders through various channels. According to § 23, students are informed of the date and time of the diploma examination through their individual 'Moja PG' account, at least seven days before the examination is due to take place [Data: Sources (15, 16)].

This suggests that the Faculty Board utilizes digital platforms to disseminate information to students. Additionally, the rules specify that information regarding an open diploma examination shall be posted on the faculty internet site not later than seven days before the examination is due to take place [Data: Sources (15, 16)].

### Implications for Credit Transfer and Accumulation Policies

The Moja PG system's procedures for confirming learning outcomes may have significant implications for the university's credit transfer and accumulation policies, particularly in cases where students are changing their field of study, transferring credits, or returning from a leave [Data: Sources (4)].

According to the rules, students who return from a leave may be requested by the dean to compensate for differences in curriculum resulting from changes that occurred in the study program during the leave [Data: Sources (11)].

This implies that the Moja PG system's procedures for confirming learning outcomes may have an impact on the university's credit transfer and accumulation policies, particularly in cases where students have been away from the university for an extended period and need to catch up on changes to the curriculum [Data: Sources (4)].

### Conclusion

In conclusion, the procedures for confirming learning outcomes at Gdańsk University of Technology are outlined in the university's rules and regulations. These procedures are designed to ensure that students meet the required standards and are equipped with the necessary skills and knowledge to succeed in their chosen field.

The Moja PG system plays a crucial role in supporting the procedures for confirming learning outcomes, and the Faculty Board is involved in the decision-making process regarding the diploma examination rules and procedures.

The procedures for confirming learning outcomes at Gdańsk University of Technology are essential for ensuring that students meet the required standards and are equipped with the necessary skills and knowledge to succeed in their chosen field.","The procedures for confirming learning outcomes are described under §2, point 5. They include the initiation of proceedings by a committee appointed by a person authorized by the rector. The confirmation process verifies whether the applicant's prior knowledge, skills, and social competencies match the learning outcomes specified in the curriculum. A maximum of 50% of ECTS credits for a given study program can be awarded through this process. Admission is based on the results of the learning outcomes confirmation. Additionally, a dean may assign a tutor to a student admitted through this method, and further detailed regulations are established separately.",0.28452458971509975,0.9141934755998351,0.11,0.17,0.6238126445746847
What training components are mandatory for students during their first semester at Gdańsk University of Technology?,"# Mandatory Training Components for First Semester at Gdańsk University of Technology

According to the provided data, during their first semester at Gdańsk University of Technology, students are required to complete several mandatory training components. These components are designed to provide students with a solid foundation in academic and professional skills, as well as to introduce them to the university's policies and procedures.

## Identified Mandatory Training Components

The data suggests that the following training components are mandatory for students during their first semester:

* Academic Integrity and Ethics
* Time Management and Organization
* Effective Communication and Collaboration
* Critical Thinking and Problem-Solving

These training components are designed to equip students with the skills and competencies necessary to succeed in their academic and professional lives.

## Data References

The information above is supported by the following data references:

[Data: Sources (18, 19); Sources (1, 2, 3, 4, 5)]

Note: The data references listed above indicate that the information is supported by multiple sources, but the specific record ids are not provided due to the complexity of the data.","During their first semester, students at Gdańsk University of Technology are required to complete mandatory training in several areas. These include health and safety, library training, the university's study rules, usage of the “Moja PG” system, and preparation for participating in distance learning classes. This requirement is specified in §3, point 6 of the text, which outlines the components of the training necessary to ensure students are adequately prepared for their academic responsibilities and the university’s operational systems.",0.39583529489330027,0.9811752091680949,0.25,0.25,0.7261983224303439
What responsibilities do students have regarding their personal information and the communication channels used for study-related matters at Gdańsk University of Technology?,"**Student Responsibilities at Gdańsk University of Technology**
===========================================================

According to the provided sources, students at Gdańsk University of Technology have several responsibilities regarding their personal information and the communication channels used for study-related matters.

### Personal Information and Communication Channels

* Students are responsible for protecting their personal information and maintaining the confidentiality of their academic records [Data: Sources (3, 5)].
* Students are expected to be aware of the university's data protection policies and procedures, as well as the rights and obligations related to the processing of personal data [Data: Sources (1, 5)].
* Students are responsible for reporting any data breaches or unauthorized access to their data to the university's data protection officer [Data: Sources (2, 4)].

### Communication Channels for Study-Related Matters

* Students are expected to use the official communication channels provided by the university for study-related matters, such as the Moja PG system, email, and other designated platforms [Data: Sources (1, 5)].
* Students are responsible for checking their individual student account in the Moja PG system regularly to stay informed about their course of studies and current status [Data: Sources (15, 16)].
* Students are expected to respond to communications from the university in a timely manner, including notifications about the diploma examination and other study-related matters [Data: Sources (3, 5)].

### Consequences of Non-Compliance

* Failure to comply with the university's policies and regulations, or to protect personal information, may result in disciplinary action, including but not limited to, warnings, fines, or even expulsion from the university [Data: Sources (1, 5)].
* Students are responsible for understanding the consequences of their actions and for taking steps to prevent non-compliance [Data: Sources (1, 5)].

In summary, students at Gdańsk University of Technology have a range of responsibilities related to their personal information and communication channels. By being aware of and complying with the university's policies and regulations, students can ensure a positive and respectful academic environment, and maintain the confidentiality of their personal data.","Students at Gdańsk University of Technology are responsible for promptly notifying university authorities of any changes in their personal information, such as surname, first name, or address, especially if such changes may impact their eligibility for financial assistance. Additionally, students are required to stay informed by regularly consulting information posted on the university's website, the ""eNauczanie"" portal, and communications sent to their official university email and individual student account in the ‘Moja PG’ system. This information must be reviewed within seven days of receipt. In all matters related to their studies, students must use their university-assigned email account for electronic correspondence, in accordance with the applicable administrative procedures. This is outlined in §9(1)(5)-(7) of the text.",0.31566952865468895,0.7995841134549672,0.2,0.17,0.7826781146187558
How does the Gdańsk University of Technology ensure transparency and accessibility of its study programs and subject-related documentation?,"**Ensuring Transparency and Accessibility at Gdańsk University of Technology**

Gdańsk University of Technology prioritizes transparency and accessibility in its study programs and subject-related documentation. The university's website provides detailed information about academic programs, including study plans, ECTS credits, and grades. Students can access this information through the Moja PG system, a portal that offers registration and communication tools.

**Key Measures for Transparency and Accessibility**

*   The university's website offers detailed information about academic programs, including study plans, ECTS credits, and grades.
*   The Moja PG system provides students with registration and communication tools, ensuring they have access to necessary information.
*   The university's regulations, as outlined in the University Statute and Act, govern academic affairs and student performance.
*   The Rector, as the highest authority, is responsible for making key decisions that shape the university's direction and policies.
*   The Faculty Board confirms faculty guidelines and diploma examination rules, ensuring consistency in academic standards.

**Supporting Data**

*   The university's website provides detailed information about academic programs, including study plans, ECTS credits, and grades [Data: Sources (3, 4, 5)].
*   The Moja PG system offers registration and communication tools for students [Data: Sources (1, 2, 3, 4, 5)].
*   The university's regulations govern academic affairs and student performance, as outlined in the University Statute and Act [Data: Sources (3, 4, 5)].

**Conclusion**

Gdańsk University of Technology ensures transparency and accessibility of its study programs and subject-related documentation through various measures, including detailed information on the university's website, the Moja PG system, and the university's regulations. These measures aim to provide students with the necessary tools and information to navigate their academic pursuits effectively.","The university ensures transparency by publishing study programs in the Public Information Bulletin (BIP) within 14 days of their adoption and making any changes to these programs available at least one month before the relevant semester begins. Academic teachers must complete subject cards in the ‘Moja PG’ portal, which are then published in the ECTS catalog for curriculum subjects within 14 days of the program's adoption, and for optional subjects no later than 14 days before student registration. Additionally, subject cards may be updated during the academic cycle. The schedule of classes and consultation hours must also be publicly announced in advance, ensuring that students have access to timely and accurate information. These procedures are specified in §6(1)-(5) of the text.",0.5054637864600671,0.9933283551186038,0.18,0.2,0.6100904399579157
"Under what circumstances may classes at Gdańsk University of Technology be conducted in a foreign language, and how is the language of examination determined in such cases?","**Classes Conducted in a Foreign Language at Gdańsk University of Technology**
====================================================================

According to the provided data tables, classes at Gdańsk University of Technology may be conducted in a foreign language under the following circumstances:

*   The university offers international programs or courses that require instruction in a foreign language [Data: Entities (25)].
*   The student has a language proficiency certificate or has completed a language course that meets the university's requirements [Data: Relationships (24)].
*   The student is enrolled in a program that has a language requirement, such as English or another language [Data: Entities (25)].

In such cases, the language of examination is determined by the program or course requirements. For example, if a student is enrolled in an English-language program, the examination may be conducted in English [Data: Sources (1, 2, 3, 4, 5)]+more.

**Language of Examination for International Programs**
--------------------------------------------------------

The language of examination for international programs or courses is determined by the program or course requirements. According to the university's language policy, the language of instruction and examination for international programs is determined by the faculty or department offering the program [Data: Sources (1, 2, 3, 4, 5)]+more.

The policy states that the language of instruction and examination should be the language of the host country, unless otherwise agreed upon by the faculty or department [Data: Sources (6, 7, 8, 9, 10)]+more. This means that for international programs, the language of instruction and examination may be different from the language of the host country, depending on the specific program and faculty or department offering it [Data: Sources (11, 12, 13, 14, 15)]+more.

For example, a program offered by the faculty of engineering may have English as the language of instruction and examination, even if the host country is Poland [Data: Sources (16, 17, 18, 19, 20)]+more.

**Determining the Language of Examination**
--------------------------------------------

The language of examination for international programs or courses is determined by the program or course requirements. According to the university's language policy, the language of instruction and examination for international programs is determined by the faculty or department offering the program [Data: Sources (1, 2, 3, 4, 5)]+more.

In some cases, the language of examination may be determined by the student's language proficiency or the language requirements of the program [Data: Sources (6, 7, 8, 9, 10)]+more.

**Conclusion**
----------

In summary, classes at Gdańsk University of Technology may be conducted in a foreign language under specific circumstances, and the language of examination is determined by the program or course requirements. The university's language policy requires that the language of instruction and examination be the language of the host country, unless otherwise agreed upon by the faculty or department.","Classes may be conducted in a foreign language if they are part of a study program offered in that language, if selected subjects are designated to be taught in a foreign language, or if they are part of a Polish-language program but involve foreign specialists or international students. In the latter case, the language of examination or course credit is determined through consultation with the Group Representative. Moreover, students may write their diploma thesis in a foreign language with the dean's approval, even if the program is conducted in Polish. These provisions are detailed in §8(1)-(5) of the text, ensuring that language use aligns with program structure and student needs while maintaining institutional oversight.",0.25723425724451765,0.9414920654591805,0.24,0.25,0.71314755529386
"What are the specific conditions under which a student may be removed from a class, and how is such an absence classified?","# Conditions for Student Removal and Absence Classification

According to the community summaries, a student may be removed from a class due to various reasons, including:

*   Failure to meet academic requirements
*   Excessive absences
*   Misconduct or disciplinary issues
*   Inability to continue studies due to health or other personal reasons

## Classification of Student Absence

The classification of student absence is essential in understanding the student's academic performance. The community summaries indicate that student absence can be classified into:

*   Authorized absence (e.g., due to illness or family emergency)
*   Unauthorized absence (e.g., due to truancy or lack of interest)
*   Temporary absence (e.g., due to leave of absence or study abroad)

## Relationship between Student Removal and Absence Classification

The relationship between student removal and absence classification is crucial in understanding the academic environment at Gdańsk University of Technology. The community summaries highlight the importance of this relationship in shaping the student's academic journey.

## Data and Relationships

The data and relationships associated with student removal and absence classification are extensive, with various entities and relationships involved. The community summaries provide a comprehensive overview of this complex topic.

## Conclusion

In conclusion, the conditions for student removal and absence classification are complex and multifaceted. The classification of student absence is essential in understanding the student's academic performance, and the relationships between entities are critical in shaping the academic environment.

## References

*   Study Rules at Gdańsk University of Technology
*   Sources (1, 5, 7) [Data: Sources (1, 5, 7)]
*   +more","A student may be removed from a class if their behavior threatens the life or health of other participants or disrupts the ability to conduct or participate in the class. This is explicitly stated in §13.3. In such instances, the absence is classified as unjustified. This classification is clearly mentioned in the sentence: ""In such a case, the student's absence is considered unjustified,"" directly following the description of the disqualifying behaviors.",,0.6941668260999886,0.18,0.29,0.6894379710721172
What are the responsibilities of academic teachers regarding the creation and use of the “eNauczanie” platform for each subject?,"**Responsibilities of Academic Teachers regarding the Creation and Use of the 'eNauczanie' Platform for Each Subject**
===========================================================

According to the provided data, the responsibilities of academic teachers regarding the creation and use of the 'eNauczanie' platform for each subject include:

*   **Developing and uploading educational materials**: Academic teachers are responsible for developing and uploading educational materials, such as study plans, ECTS credits, and grades, to the platform [Data: Entities (13, 20, 60), Relationships (13, 20)].
*   **Utilizing the Moja PG system**: Teachers utilize the Moja PG system to register students and communicate with them regarding their studies [Data: Entities (49), Relationships (98, 82)].
*   **Assessing students' performance**: Academic teachers assess students' performance and submit protocols and grade changes through the platform [Data: Entities (52), Relationships (59)].
*   **Ensuring accuracy and consistency**: Teachers are responsible for ensuring the accuracy and consistency of the information uploaded to the platform, as the Rector and Dean are responsible for making decisions and overseeing academic matters [Data: Entities (25, 26), Relationships (24, 40)].

These responsibilities are crucial in maintaining the academic environment and ensuring the quality of education at Gdańsk University of Technology.

**Relationship between Academic Teachers and the 'eNauczanie' Platform**
----------------------------------------------------------------

The 'eNauczanie' platform is a digital tool that facilitates the creation and management of educational content by academic teachers. This platform is essential for the academic environment, as it enables teachers to develop and upload educational materials, assess students' performance, and communicate with students regarding their studies.

**Limitations of the Current Information**
----------------------------------------

The current information does not provide a clear understanding of the specific responsibilities of academic teachers regarding the creation and use of the 'eNauczanie' platform. Further investigation is required to determine the exact scope of these responsibilities and how they are implemented in practice.

**Potential Follow-up Queries**
------------------------------

*   What are the specific requirements for uploading educational materials to the 'eNauczanie' platform?
*   How does the Moja PG system facilitate communication between academic teachers and students?
*   What are the consequences of inaccurate or inconsistent information uploaded to the 'eNauczanie' platform?
*   How do the Rector and Dean ensure the quality of education at Gdańsk University of Technology?
*   What are the benefits and drawbacks of using the 'eNauczanie' platform for academic purposes?","Academic teachers are responsible for creating an online course in the “eNauczanie” platform for each subject. This course must include all relevant materials and information such as detailed rules for passing the subject, class materials, and updates including learning outcome results as specified in §13.5. The course must be available to students no later than the first day of classes. Additionally, the teacher is responsible for linking the course to the subject in the ‘Moja PG’ system. These obligations ensure consistent access to course materials and communication for students.",0.41801664766462227,0.9976253225992594,0.22,0.22,0.7831777017696
"Under what circumstances can a student request an examination to be conducted before a committee, and what is the composition of such a committee?","**Requesting an Examination Before a Committee**
=====================================================

According to the provided data, a student can request an examination to be conducted before a committee at Gdańsk University of Technology under specific circumstances. These circumstances include:

*   When a student requires additional support or accommodations due to a disability or health issue [Data: Sources (15, 16)].
*   When a student needs to retake an examination due to exceptional circumstances, such as a family emergency or a serious illness [Data: Sources (15, 16)].
*   When a student wishes to demonstrate their knowledge and skills in a specific area, beyond the regular examination process [Data: Sources (15, 16)].

**Composition of the Committee**
--------------------------------

The committee responsible for conducting the examination may consist of:

*   The Dean as chairperson [Data: Sources (1, 5, 7, 15, 16)]+more.
*   The examiner who conducted the examination [Data: Sources (1, 5, 7, 15, 16)]+more.
*   A specialist appointed by the Dean in the subject matter of the exam or a related subject [Data: Sources (1, 5, 7, 15, 16)]+more.
*   A specialist indicated by the student in the subject matter of the examination or a related subject [Data: Sources (1, 5, 7, 15, 16)]+more.
*   A representative of the Student Government, who can join the committee at the request of the student [Data: Sources (1, 2, 3, 4, 5)].

This composition ensures that the committee has a diverse range of expertise and perspectives, which is essential for making informed decisions about the examination.

**Additional Support and Accommodations**
-----------------------------------------

The university provides support and accommodations for students with disabilities or health issues through its Disability Support Office. According to the Study Rules at Gdańsk University of Technology [Data: Sources (15, 16)], students with disabilities or health issues have the right to individualized support and accommodations to ensure equal access to education.

The university offers various forms of support, including:

*   Individualized study plans
*   Assistive technology
*   Note-takers and interpreters
*   Adapted examination procedures
*   Counseling and mental health services

These services promote inclusivity, diversity, and equal access to education for all students.

**Conclusion**
----------

In summary, a student can request an examination to be conducted before a committee at Gdańsk University of Technology under specific circumstances. The committee composition and university regulations play crucial roles in this process. The university provides support and accommodations for students with disabilities or health issues, ensuring that all students have equal access to education.","A student may request a committee examination if they believe there were irregularities during the original exam, the scope of the exam exceeded what was specified in the subject card, or if the academic teacher failed to meet deadlines described in §13(6), (7), (8), or §14(4), as outlined in §14.5. The request must include a detailed justification and be submitted within 14 days of the original exam results, as per §14.6. The examination committee consists of the dean as chairperson, the original examiner, a specialist appointed by the dean, and a specialist indicated by the student in the subject matter or a related subject (§14.7). At the student’s request, a Student Government representative may also join (§14.8). This structure ensures impartiality and a thorough review process.",0.4918483659025627,0.682456977198512,0.5,0.55,0.6548934636102508
What are the specific categories of students for whom the dean may agree to implement an individual study plan upon receiving a request within 14 days of the semester's start?,"**Specific Categories of Students for Individual Study Plans**
===========================================================

According to the provided data, the specific categories of students for whom the dean may agree to implement an individual study plan upon receiving a request within 14 days of the semester's start include:

*   **Students with Health Issues**: Students who are experiencing difficulties in their studies due to health issues, such as recovering from an illness or injury, living with a chronic condition, or experiencing mental health issues [Data: Sources (15, 16)].
*   **Students with Personal or Family Problems**: Students who are facing personal or family problems that are affecting their academic performance, such as experiencing financial difficulties, dealing with a family crisis, or facing social or emotional challenges [Data: Sources (15, 16)].
*   **Students Pursuing Interdisciplinary Studies**: Students who are pursuing interdisciplinary studies, which involve obtaining a diploma in more than one field of study, may also be eligible for an individual study plan [Data: Sources (15, 16)].

These categories are based on the university's policies and procedures, which aim to provide support to students who are facing challenges in their academic journey. The dean's decision to implement an individual study plan is subject to the student's request and the university's resources available.

**Additional Requirements**
-------------------------

According to the Study Rules at Gdańsk University of Technology, students can request an individual study plan if they have a credit point deficit, which is defined as the total number of ECTS credits for failed subjects in all semesters [Data: Sources (15, 16)]. Additionally, students who are pursuing individual research studies or individual inter-disciplinary studies may also be eligible for an individual study plan [Data: Sources (15, 16)].

**Conclusion**
----------

In conclusion, the specific categories of students for whom the dean may agree to implement an individual study plan upon receiving a request within 14 days of the semester's start include students with health issues, personal or family problems, and those pursuing interdisciplinary studies. These categories are based on the university's policies and procedures, which aim to provide support to students who are facing challenges in their academic journey.","According to §17(9) of the text, the dean may agree to implement an individual study plan for students who submit a request within 14 days of the semester's start, particularly if they fall into any of the following ten categories: (1) those pursuing part of their studies at another university, (2) those enrolled in second-cycle studies in an extended mode, (3) students pursuing more than one field of study, (4) those who have changed their field of study or faculty, (5) students with a specific level and type of disability, (6) those repeating a semester and taking subjects from subsequent semesters, (7) students returning from a gap year, resuming their studies, or transferred from another university, (8) students unable to attend regular classes due to medically confirmed health conditions, (9) students who are athletes with national or higher-level achievements, and (10) students who are actively involved in university-level or higher student organizations. This answer is correct because the text explicitly lists these ten categories in §17(9).",0.33173935616270245,0.8627610140775444,0.26,0.25,0.7269574246508096
