Question:
What is the procedure and timeline for a student to apply for a transfer from another university to Gdańsk University of Technology?

Answer:
**Procedure for Transfer from Another University to Gdańsk University of Technology**

According to the provided Knowledge Base, a student can apply for a transfer from another university to Gdańsk University of Technology upon the consent of a person authorized by the rector. The procedure involves the following steps:

1.  The student submits a transfer application not later than one month before the beginning of the subsequent semester.
2.  Following the transfer approval, the student is obliged to:
    *   Take an oath, pursuant to the Statute of Gdańsk University of Technology
    *   Sign the contract referred to in §9(1)(4) of these rules
    *   Undergo training courses referred to in §3(6)

**Timeline for Transfer Application**

The academic year starts on 1 October and ends on 30 September. The organization of the academic year is determined by the rector after consultation with the Student Government of Gdańsk Tech, and announced on the website of Gdańsk University of Technology not later than one month before its commencement.

**Important Notes**

*   The student who is applying for a change of university submits a transfer application not later than one month before the beginning of the subsequent semester.
*   Refusal to transfer the student from another university is an administrative decision.
*   The detailed rules for the transfer and recognition of learning outcomes when changing the field of study, faculty, and university are provided for in university procedure No. 11.

**References**

*   [KG] page 17
*   [KG] page 18
*   [KG] page 4
*   [KG] page 5
*   [KG] page 6
